timestamp,src_ip,dest_ip,src_port,dest_port,protocol,traffic_flow,traffic_decision,flow_state,packets_src_to_dest,bytes_src_to_dest,packets_dest_to_src,bytes_dest_to_src,total_bytes,total_packets,rule_name,mac_address,resource_id
2025-12-07 13:34:11.043,192.168.10.254,20.15.141.193,43710,443,6,O,E,NX,1,124,0,0,124,1,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:21.058,192.168.10.254,20.15.141.193,43710,443,6,O,B,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:27.028,192.168.10.254,20.15.141.193,43710,443,6,O,E,NX,1,124,0,0,124,1,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:33:53.053,89.248.163.61,192.168.10.254,57627,8045,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:33:55.067,78.128.114.166,192.168.10.254,47045,2613,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:33:59.080,79.124.62.126,192.168.10.254,42357,22198,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:33:59.067,78.128.114.166,192.168.10.254,47045,2613,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:33:59.088,104.156.155.6,192.168.10.254,47968,56098,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:03.072,78.128.114.166,192.168.10.254,47045,2613,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:06.032,45.156.129.101,192.168.10.254,24229,5672,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:04.071,146.190.219.13,192.168.10.254,60163,11434,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:06.073,104.156.155.6,192.168.10.254,47968,9105,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:07.065,104.156.155.6,192.168.10.254,47968,8001,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:07.071,78.128.114.166,192.168.10.254,47045,2613,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:16.087,167.94.138.158,192.168.10.254,21084,9200,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:19.098,65.49.1.88,192.168.10.254,52302,10514,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:22.077,109.236.61.23,192.168.10.254,31093,389,17,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:26.070,79.124.58.86,192.168.10.254,40127,38565,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:28.004,65.49.1.11,192.168.10.254,36393,11,17,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:29.023,104.156.155.6,192.168.10.254,47968,3002,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:34.067,109.180.212.252,192.168.10.254,26524,23,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:34.030,79.124.58.86,192.168.10.254,40023,38565,6,I,D,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-wan-router-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-wan-router-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:50.020,192.168.10.254,20.15.141.192,55798,443,6,O,B,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:51.021,192.168.10.254,20.15.141.192,55798,443,6,O,E,NX,1,124,0,0,124,1,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:51.021,192.168.10.254,20.15.141.192,55798,443,6,O,B,NX,0,0,0,0,0,0,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
2025-12-07 13:34:53.026,192.168.10.254,20.15.141.192,55798,443,6,O,E,NX,1,124,0,0,124,1,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-hub-nva-vm-rg/providers/Microsoft.Network/networkSecurityGroups/customer-hub-vm-vm-nsg,,/subscriptions/87ec57f9-f0ea-43d1-822b-8c9a98d889ca/resourceGroups/customer-a--hub-vnet-rg/providers/Microsoft.Network/virtualNetworks/customer-a--hub-vnet
